profile,scenario,variable,trials,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_memory_mb,mean_tokens,mean_cache_hit_rate
OPT1+2+3+4: Incremental,server_scaling,5,30,77.52638999997241,77.56564999954207,78.40699999997014,78.443000000334,4.9591064453125e-05,3037,0.7
OPT1+2+3+4: Incremental,server_scaling,10,30,77.43896000001769,77.30764999996609,78.69029999983468,78.74660000015865,4.9591064453125e-05,3127,0.7
OPT1+2+3+4: Incremental,server_scaling,20,30,106.84855333347514,108.20375000048443,108.92429999967135,108.97279999971943,4.9591064453125e-05,3307,0.7
OPT1+2+3+4: Incremental,server_scaling,30,30,123.71208333346051,123.71625000014319,124.83160000010685,124.99819999993633,5.4168701171875e-05,3487,0.7
OPT1+2+3+4: Incremental,server_scaling,40,30,123.64738666665289,123.66990000009537,124.34250000023894,124.4736999997258,4.9591064453125e-05,3667,0.7
OPT1+2+3+4: Incremental,server_scaling,50,30,154.78234666664625,154.57040000001143,156.0324000001856,156.83379999973113,0.00010763804117838541,3847,0.7
OPT1+2+3: Manifest Caching,context_scaling,64,30,106.33664333327033,108.19970000011381,109.71489999974438,109.97390000011364,4.9591064453125e-05,1202,0.7
OPT1+2+3: Manifest Caching,context_scaling,128,30,107.41225000007641,108.32994999964285,109.47200000009616,109.87490000024991,4.9591064453125e-05,1285,0.7
OPT1+2+3: Manifest Caching,context_scaling,256,30,106.9013466666244,108.30910000004224,109.62949999975535,109.94599999958155,4.9591064453125e-05,1451,0.7
OPT1+2+3: Manifest Caching,context_scaling,512,30,107.14513000002626,108.1064999998489,108.7641000003714,108.96729999967647,4.9591064453125e-05,1782,0.7
OPT1+2+3: Manifest Caching,context_scaling,1024,30,106.53504666658289,107.99369999995179,108.9652999999089,109.56069999974716,4.9591064453125e-05,2445,0.7
OPT1+2+3: Manifest Caching,server_scaling,1,30,77.1910033333673,77.22235000028377,77.84509999964939,78.01889999973355,4.9591064453125e-05,1052,0.7
OPT1+2+3: Manifest Caching,server_scaling,5,30,77.43972000004457,77.45865000015328,78.22620000024472,78.37999999992462,4.9591064453125e-05,1136,0.7
OPT1+2+3: Manifest Caching,server_scaling,10,30,77.34135999999125,77.52544999993916,77.86719999967318,77.86910000049829,4.9591064453125e-05,1241,0.7
OPT1+2+3: Manifest Caching,server_scaling,20,30,107.24815666681025,108.0827999999201,109.2824000006658,109.96860000068409,4.9591064453125e-05,1451,0.7
OPT1+2+3: Manifest Caching,server_scaling,30,30,123.69012666673977,123.73204999994414,124.59500000022672,124.68130000070232,4.9591064453125e-05,1661,0.7
OPT1+2+3: Manifest Caching,server_scaling,40,30,123.4812100000757,123.37680000018736,124.32540000008885,125.61319999986154,4.9591064453125e-05,1871,0.7
OPT1+2+3: Manifest Caching,server_scaling,50,30,154.71072999995764,154.64214999974502,155.99699999984296,156.10669999932725,7.62939453125e-05,2081,0.7
OPT1+2: Async Discovery,context_scaling,64,30,108.16190000005008,107.98334999981307,109.37529999955586,109.45259999971313,4.9591064453125e-05,1202,0.7
OPT1+2: Async Discovery,context_scaling,128,30,108.24083333324477,108.0968500000381,109.68419999971957,110.06619999989198,4.9591064453125e-05,1285,0.7
OPT1+2: Async Discovery,context_scaling,256,30,107.2352766665972,108.19944999957443,109.3191999998453,109.44059999928868,4.9591064453125e-05,1451,0.7
OPT1+2: Async Discovery,context_scaling,512,30,106.38220666657314,107.93865000005098,108.55100000026141,108.88859999977285,4.9591064453125e-05,1782,0.7
OPT1+2: Async Discovery,context_scaling,1024,30,108.12565666662219,108.11019999982818,108.9745999997831,109.41939999975148,4.9591064453125e-05,2445,0.7
OPT1+2: Async Discovery,server_scaling,1,30,77.45934333339999,77.34200000004421,78.38409999931173,78.4377999998469,4.9591064453125e-05,1052,0.7
OPT1+2: Async Discovery,server_scaling,5,30,77.29323666665853,77.20719999952053,77.88759999948525,78.46590000008291,4.9591064453125e-05,1136,0.7
OPT1+2: Async Discovery,server_scaling,10,30,77.43981999998748,77.37665000013294,78.43119999961345,78.44910000039818,4.9591064453125e-05,1241,0.7
OPT1+2: Async Discovery,server_scaling,20,30,106.80584666667225,108.05970000001253,109.3111999998655,109.40219999974943,4.9591064453125e-05,1451,0.7
OPT1+2: Async Discovery,server_scaling,30,30,123.74371666667987,123.79419999979291,124.72320000051695,124.87460000011197,4.9591064453125e-05,1661,0.7
OPT1+2: Async Discovery,server_scaling,40,30,123.42822000003555,123.50139999989551,124.6184000001449,124.72849999994651,5.4168701171875e-05,1871,0.7
OPT1+2: Async Discovery,server_scaling,50,30,154.5001666666091,154.4542999999976,155.54770000017015,156.05969999978697,7.62939453125e-05,2081,0.7
OPT1: Context Compression,context_scaling,64,30,108.38900333328638,108.2378000000972,109.54409999976633,109.9183999995148,4.9591064453125e-05,1202,0.0
OPT1: Context Compression,context_scaling,128,30,108.46870666655377,108.41954999978043,109.32390000016312,109.64460000013787,4.9591064453125e-05,1285,0.0
OPT1: Context Compression,context_scaling,256,30,108.2508033333094,108.27359999984765,109.12759999973787,109.33680000016466,4.9591064453125e-05,1451,0.0
OPT1: Context Compression,context_scaling,512,30,108.2865300000473,108.29384999988179,109.516700000313,109.52090000046155,4.9591064453125e-05,1782,0.0
OPT1: Context Compression,context_scaling,1024,30,108.34712666658864,108.35109999970882,109.15599999952974,109.22630000004574,4.9591064453125e-05,2445,0.0
